id;tip;kod;ad;adres;telefon;il_kod;il_ad;ilce_kod;ilce_ad;mahalle_ad;lat;lon;hafta_ici;cumartesi;pazar;aktiflik;guncellenme_tarihi
3732;PTT_SUBE;6967;ÇUKUROVA ÜNİVERSİTESİ  ŞUBESİ;BALCALI MAHALLESİ MİTHAT ÖZSAN BULVAR No: 85 /7 SARIÇAM ADANA;03223386006;1;ADANA;;;;37.05582;35.36188;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3716;PTT_SUBE;7060;İBO OSMAN  ŞUBESİ;SÜMER MAHALLESİ İBO OSMAN CADDE No: 86 A SEYHAN ADANA;03222272703;1;ADANA;;;;37.015426;35.314632;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3715;PTT_SUBE;2313;İMAMOĞLU MÜDÜRLÜĞÜ;CUMHURİYET MAHALLESİ ADNAN MENDERES CADDE No: 33 İMAMOĞLU ADANA;03228921001;1;ADANA;;;;37.259373;35.661183;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3714;PTT_SUBE;7726;İSTİNAF MAHKEMESİ  ŞUBESİ;KIŞLA MAHALLESİ EGE BAĞATUR BULVAR No: 250 - YÜREĞİR ADANA;03220000000;1;ADANA;;;;37.020287;35.338216;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3692;PTT_SUBE;2825;ŞEHİT ERKUT AKBAY  ŞUBESİ;ŞEHİT ERKUT AKBAY MAHALLESİ 2801 SOKAK No: 104 YÜREĞİR ADANA;03223293232;1;ADANA;;;;37.00079;35.37466;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3691;PTT_SUBE;2828;ŞEVKİYE  ŞUBESİ;VARSAKLAR MAHALLESİ TUFANBEYLİ BULVAR No: 31 B KOZAN ADANA;03225154586;1;ADANA;;;;37.44529;35.79236;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3778;PTT_SUBE;8556;ADIYAMAN DAĞITIM VE TOPLAMA  MÜDÜRLÜĞÜ;DUMLUPINAR MAHALLESİ KİRAZLAR SOKAK No: 2 BESNİ ADIYAMAN;05070000001;2;ADIYAMAN;;;;37.69387299;37.85397804;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:54
3777;PTT_SUBE;3704;ADIYAMAN MÜDÜRLÜĞÜ;SÜMEREVLER MAHALLESİ ATATÜRK BULVAR No: 58 /1 MERKEZ ADIYAMAN;04162160570;2;ADIYAMAN;;;;37.755241;38.2516;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:54
3776;PTT_SUBE;8190;ADLİYE  ŞUBESİ;MENDERES MAHALLESİ 15 TEMMUZ ŞEHİTLER VE GAZİLER CADDE No: 47 KAHTA ADIYAMAN;04160000000;2;ADIYAMAN;;;;37.782302;38.636451;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:54
3775;PTT_SUBE;8219;ADLİYE ŞUBESİ;YAVUZ SELİM MAHALLESİ ATATÜRK BULVAR No: 201 MERKEZ ADIYAMAN;0;2;ADIYAMAN;;;;37.762582;38.269349;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:54
3774;PTT_SUBE;8215;BESNİ MÜDÜRLÜĞÜ;PINARBAŞI MAHALLESİ PROF. MAHMUT ÖZBAY CADDE No: 15 A BESNİ ADIYAMAN;05519870901;2;ADIYAMAN;;;;37.690034145;37.854152067;08:30-12:30;KAPALI;KAPALI;1;2026-09-21 08:29:54
3772;PTT_SUBE;3560;GERGER  ŞUBESİ;MERKEZ MAHALLESİ M.YÜCEL ÖZBİLGİN CADDE No: 23 A GERGER ADIYAMAN;04164312465;2;ADIYAMAN;;;;38.029228135;39.034319817;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:54
3771;PTT_SUBE;8179;GÖLBAŞI MÜDÜRLÜĞÜ;ASFALT MAHALLESİ 401 SOKAK No: 9 A GÖLBAŞI ADIYAMAN;04167816001;2;ADIYAMAN;;;;37.783409;37.641858;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:54
